Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Bricklinked,Archive,Selling,No Minifigures,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"30264-1","Legends of Chima","Fire vs. Ice",2014,"Frax' Phoenix Flyer",1,32,,3.99,,,5702015154918,,14,17,0.7,,"",1,1,0,,0,1,,,,,,,,,4.4000,1.9300,"01/06/2014","31/12/2014"
"30265-1","Legends of Chima","Fire vs. Ice",2014,"Worriz' Fire Bike",1,31,,4.69,,,5702015154949,,17,19.5,0.6,,"",1,1,0,,0,1,,,,,,,,,4.4800,2.1700,"01/06/2014","31/12/2014"
"30271-1","Teenage Mutant Ninja Turtles","TV Series",2014,"Mikey's Mini-Shellraiser",1,47,,4.99,,,5702015170031,,14,17,0.9,0.03,"",1,1,0,,0,1,,,,,,,,,11.5900,3.7300,"01/04/2014","31/12/2014"
"30280-1","The LEGO Movie","Promotional",2014,"The Piece of Resistance ",1,33,,,,,5702015133050,673419213097,14,17,0.7,,"",1,1,0,,0,1,,,,,,,,,8.3500,3.2800,"01/01/2014","31/12/2014"
"30281-1","The LEGO Movie","Promotional",2014,"Micro Manager Battle ",1,27,,,,,5702015133067,,17,17,0.5,,"",2,2,0,,0,1,,,,,,,,,5.6800,2.2400,"01/01/2014","31/12/2014"
"30282-1","The LEGO Movie","Promotional",2014,"Super Secret Police Enforcer ",1,40,,4.99,,,5702015133975,673419213110,17,17,0.8,,"",1,1,0,,0,1,,,,,,,,,6.6200,3.6900,"01/01/2014","31/12/2014"
"30283-1","Creator","Promotional",2015,"Off-Road",,43,,,,,5702015355858,,17,17,1,,"",1,1,0,,0,1,,,,,,,,,3.4600,1.8400,"01/01/2015","31/12/2015"
"30284-1","Creator","Promotional",2015,"Tractor",,51,,,,,5702015355865,,17,19.5,0.7,,"",2,2,0,,0,1,,,,,,,,,5.6100,3.9600,"01/01/2015","31/12/2015"
"30293-1","Ninjago","Tournament of Elements",2015,"Kai Drifter",1,43,,,,,5702015356107,,17,17,0.8,,"",2,2,0,,0,1,,,,,,,,,4.3400,2.4900,"01/01/2015","31/12/2015"
"30300-1","DC Comics Super Heroes","The Dark Knight Trilogy",2014,"The Batman Tumbler",,57,,3.99,,,5702015129343,673419212809,17,19.5,1.1,,"",2,2,0,,0,1,,,,,,,,,9.8300,4.1300,"01/01/2014","31/12/2014"
"30301-1","DC Comics Super Heroes","Batman",2014,"Batwing",,45,,4.99,,,5702015129350,,17,19.5,1.1,0.05,"",1,1,0,,0,1,,,,,,,,,6.6300,2.6800,"01/01/2014","31/12/2014"
"30302-1","Marvel Super Heroes","Ultimate Spider-Man",2014,"Spider-Man",1,45,,3.99,,,5702015129367,,17,19.5,0.8,,"",1,1,0,,0,1,,,,,,,,,7.7700,4.8300,"01/01/2014","31/12/2014"
"30303-1","DC Comics Super Heroes","Batman",2015,"The Joker Bumper Car",1,47,,3.99,,,5702015357357,673419233743,17,17,0.7,,"",2,2,0,,0,1,,,,,,,,,6.7600,3.8100,"01/01/2015","31/12/2015"
"30311-1","City","Swamp Police",2015,"Swamp Police Helicopter",1,51,,3.49,,,5702015357319,673419233705,17,19.5,1,,"",2,2,0,,0,1,,,,,,,,,3.9900,2.6500,"01/01/2015","31/12/2015"
"30312-1","City","Construction",2015,"Demolition Driller",1,40,,,,,5702015357647,673419235051,17,19.5,0.9,,"",1,1,0,,0,1,,,,,,,,,6.5700,2.8400,"01/01/2015","31/12/2015"
"30372-1","Nexo Knights","Promotional",2016,"Robin's Mini Fortrex",1,45,,,,,5702015608473,,17,17,0.8,,"",1,1,0,,0,1,,,,,,,,,3.9400,1.5400,"01/01/2016","31/12/2016"
"30446-1","DC Comics Super Heroes","DC Extended Universe",2016,"The Batmobile",,63,,3.99,,,5702015608770,673419251260,17,19.5,1,,"",1,1,0,,0,1,,,,,,,,,4.7500,4.0000,"01/01/2016","31/12/2016"
"30448-1","Marvel Super Heroes","Spider-Man",2016,"Spider-Man vs. The Venom Symbiote",1,49,,,,,5702015618144,673419252706,17,19.5,0.9,,"",2,2,0,,0,1,,,,,,,,,25.4100,14.3900,"01/03/2016","31/12/2016"
"30449-1","Marvel Super Heroes","Guardians of the Galaxy Vol. 2",2017,"The Milano",,64,,,,,5702015877022,673419268790,20,19.5,1,,"",1,1,0,,0,1,,,,,,,,,7.3500,4.7500,"01/03/2017","31/12/2017"
"30452-1","Marvel Super Heroes","Avengers: Endgame",2019,"Iron Man and Dum-E",1,38,,,,,5702016374674,673419306164,17,19.5,0.5,,"",1,1,0,,0,1,,,,,,,,,6.3800,5.0000,"31/03/2019","31/12/2020"
"30521-1","The LEGO Batman Movie","Miscellaneous",2017,"The Mini Batmobile",,68,,,,,5702015876926,673419268677,17,17,1,,"",1,1,0,,0,1,,,,,,,,,6.7400,6.0400,"01/01/2017","31/12/2017"
"30525-1","Marvel Super Heroes","Avengers: Infinity War",2018,"The Guardians' Ship",,69,3.99,3.99,4.99,3.49,5702016122442,,17,17,1,,"",1,1,0,,0,1,,,,,,,,,5.4500,1.9300,"03/03/2018","31/12/2018"
"30526-1","The LEGO Batman Movie","Miscellaneous",2018,"The Mini Ultimate Batmobile",,84,,,,,5702016123203,,20,19.5,1,,"",1,1,0,,0,1,,,,,,,,,7.1200,3.8800,"01/01/2018","31/12/2019"
"30583-1","Creator","Seasonal",2022,"Easter Bunny",,75,,,,,5702017154800,,17,19.5,1.5,0.043,"",1,1,0,,0,1,,"Yes",,,,,,,4.0700,3.1900,"13/02/2022","31/12/2022"
"30607-1","The LEGO Batman Movie","Promotional",2017,"Disco Batman - Tears of Batman ",2,13,,3.99,6.99,,5702015890090,673419271165,,,,,"",1,1,0,,0,1,,,,,,,,,12.8800,7.3600,"",""
"30610-1","Marvel Super Heroes","Promotional",2017,"Giant-Man Hank Pym",1,3,,,,,5702016023398,673419277853,,,,,"",1,1,0,,0,1,,,,,,,,,21.9400,15.0000,"",""
"31031-1","Creator","3 in 1",2015,"Rainforest Animals",,215,12.99,14.99,19.99,14.99,5702015348126,673419229944,26.2128,14.097,4.8006,0.29056,"",1,1,0,,0,1,,"Yes",,,,,,,43.5900,23.9000,"",""
"31034-1","Creator","3 in 1",2015,"Future Flyer",,237,17.99,24.99,29.99,19.99,5702015347853,673419229876,26.2128,19.1008,6.096,0.41768,"",1,1,0,,0,1,,"Yes",,,,,,,75.0000,23.7500,"01/01/2015","31/12/2016"
"31039-1","Creator","3 in 1",2015,"Blue Power Jet",,608,49.99,69.99,89.99,54.99,5702015347839,673419229852,54.0004,28.194,5.8928,1.26666,"",1,1,0,,0,1,,"Yes",,,,,,,110.9900,80.6500,"01/06/2015","31/12/2016"
"31059-1","Creator","3 in 1",2017,"Sunset Street Bike",,194,17.99,19.99,24.99,19.99,,673419266499,26.2128,19.1008,6.096,0.3674095,"",1,1,0,,0,1,,"Yes",,,,,,,18.5900,17.2500,"",""
"31062-1","Creator","3 in 1",2017,"Robo Explorer",,205,17.99,19.99,24.99,17.99,,673419266512,26.2128,19.1008,4.5974,0.3175144,"",1,1,0,,0,1,,,,,,,,,20.8700,10.4400,"01/01/2017","31/12/2018"
"31140-1","Creator","3 in 1",2023,"Magical Unicorn",,145,8.99,9.99,13.99,9.99,5702017415932,,19,14,4.4,0.227,"",1,1,0,,0,1,,,,,,,,,9.9500,,"",""
"40077-1","Promotional","Toys R Us",2013,"Geoffrey",,90,4.99,,,,5702015064859,673419202404,,,,,"",1,1,0,,0,1,,"Yes",,,,,,,6.7900,4.9100,"",""
"40109-1","Creator","Promotional",2014,"MINI Cooper Mini Model",,59,,,,,,673419212083,17,17,1.1,,"",1,1,0,,0,1,,,,,,,,,33.3100,15.3300,"01/06/2014","31/12/2014"
"40140-1","Creator","Promotional",2015,"Flower Cart",1,71,,4.99,,,5702015355483,,17,17,1.3,,"",1,1,0,,0,1,,,,,,,,,15.6300,13.0500,"01/01/2015","31/12/2015"
"40220-1","Creator","Promotional",2016,"London Bus",,118,,9.99,11.99,,5702015595407,,14,20.1,6,,"",2,2,0,,0,1,,,,,,,,,13.3500,5.4500,"01/06/2016","31/12/2023"
"40334-1","Marvel Super Heroes","The Avengers",2019,"Avengers Tower",1,211,,19.99,,,5702016371178,673419304603,14.1,26.2,6.1,,"",1,1,0,,0,1,,,,,,,,,30.7500,19.5700,"31/03/2019","31/12/2019"
"40408-1","Hidden Side","Promotional",2020,"Drag Racer",2,134,,12.99,16.99,,5702016656688,,15.7,14.1,6.1,,"",1,1,0,,0,1,,,,,,,,,10.6700,7.1600,"20/01/2020","31/12/2020"
"40516-1","Icons","Miscellaneous",2021,"Everyone is Awesome",11,346,30.99,34.99,44.99,34.99,5702017106991,673419351751,35.2,18.9,6.8,0.566,"",1,1,0,,0,1,,,,,,,,,37.2600,25.2300,"01/06/2021","31/12/2023"
"40527-1","Seasonal","Easter",2022,"Easter Chicks",,318,,,,,5702017166407,,14,12.2,9,0.213,"",1,1,0,,0,1,,"Yes",,,,,,,7.8800,3.5700,"25/03/2022","31/12/2022"
"40566-1","Ideas","Promotional",2022,"Ray the Castaway",1,239,,,,,5702017241869,,19,14,7,0.292,"",1,1,0,,0,1,,,,,,,,,22.7300,22.4800,"01/10/2022","31/12/2022"
"41585-1","BrickHeadz","DC Comics Super Heroes",2017,"Batman",,91,9.99,9.99,12.99,9.99,,673419264143,9.0932,12.192,7.7978,0.1179339,"",1,1,0,,0,1,,,,,,,,,36.9400,15.5300,"01/03/2017","31/12/2017"
"41587-1","BrickHeadz","DC Comics Super Heroes",2017,"Robin",,101,9.99,9.99,12.99,9.99,5702015864268,673419267168,9.0932,12.192,7.7978,0.1179339,"",1,1,0,,0,1,,,,,,,,,20.0600,11.1000,"01/03/2017","31/12/2017"
"41611-1","BrickHeadz","Back to the Future",2018,"Marty McFly & Doc Brown",,240,17.99,19.99,24.99,19.99,5702016110913,673419282512,19.1,14.1,7.1,,"",1,1,0,,0,1,,,,,,,,,53.5900,52.1300,"01/05/2018","31/12/2018"
"42048-1","Technic","",2016,"Race Kart",,345,24.99,29.99,39.99,26.99,,673419247580,26.2128,19.1008,7.2136,0.5942055,"",1,1,0,,0,1,,,,,,,,,54.3600,19.4600,"01/01/2016","31/12/2017"
"42111-1","Technic","Licensed",2020,"Dom's Dodge Charger",,1077,104.99,119.99,149.99,119.99,5702016617498,673419318631,35.4,37.8,11.8,1.65,"",1,1,0,,0,1,,,,,,,,,83.6700,58.9100,"27/04/2020","31/12/2023"
"60057-1","City","Great Vehicles",2014,"Camper Van",2,195,17.99,19.99,24.99,19.99,5702015115636,673419207560,26.1874,19.1008,6.096,0.43,"",1,1,0,,0,1,,,,,,,,,38.6300,15.9000,"",""
"60065-1","City","Swamp Police",2015,"ATV Patrol",2,59,4.99,6.99,8.99,5.99,5702015350242,673419230766,12.192,9.0932,5.842,0.08,"",1,1,0,,0,1,,,,,,,,,12.0600,4.9200,"",""
"60077-1","City","Space",2015,"Space Starter Set",4,107,8.99,9.99,12.99,9.99,5702015349802,673419230506,15.6972,14.097,4.4958,0.14074,"",1,1,0,,0,1,,,,,,,,,16.8300,9.5900,"01/06/2015","31/12/2016"
"60078-1","City","Space",2015,"Utility Shuttle",2,155,17.99,24.99,29.99,19.99,5702015349819,673419230513,26.2128,19.1008,6.096,0.35866,"",1,1,0,,0,1,,"Yes",,,,,,,31.5000,13.5300,"01/06/2015","31/12/2016"
"70311-1","Nexo Knights","Season 1",2016,"Chaos Catapult",2,93,7.99,9.99,12.99,9.99,5702015573726,673419244534,14.097,12.192,4.5974,0.12712,"",1,1,0,,0,1,,,,,,,,,8.7500,5.9200,"01/01/2016","31/12/2016"
"70400-1","Castle","",2013,"Forest Ambush",4,90,7.99,11.99,14.99,,5702014973053,673419190657,14.097,12.192,4.5974,0.1,"",1,1,0,,0,1,,,,,,,,,33.0300,25.8800,"01/08/2013","31/12/2014"
"70803-1","The LEGO Movie","",2014,"Cloud Cuckoo Palace",4,197,17.99,19.99,24.99,19.99,5702015121248,673419209816,26.1874,19.1008,4.5974,0.3,"",1,1,0,,0,1,,,,,,,,,25.0000,13.6100,"01/01/2014","31/07/2015"
"70804-1","The LEGO Movie","2 in 1",2014,"Ice Cream Machine",3,344,24.99,29.99,39.99,29.99,5702015121255,673419209823,35.4076,19.1008,7.0104,0.51,"",1,1,0,,0,1,,"Yes",,,,,,,32.9300,15.7600,"01/01/2014","28/02/2015"
"70814-1","The LEGO Movie","",2014,"Emmet's Construct-o-Mech",4,708,49.99,59.99,74.99,59.99,5702015122351,673419210225,35.4076,37.7952,7.0612,1.09,"",1,1,0,,0,1,,"Yes",,,,,,,136.2500,68.1800,"01/06/2014","31/07/2015"
"70815-1","The LEGO Movie","",2014,"Super Secret Police Dropship",8,854,69.99,79.99,99.99,79.99,5702015122368,673419210232,54.0004,28.194,7.8486,1.43,"£40-50",1,1,0,,0,1,,,"Yes",,,,,,110.5100,79.9200,"01/06/2014","31/07/2015"
"70816-1","The LEGO Movie","",2014,"Benny's Spaceship, Spaceship, SPACESHIP!",7,940,79.99,99.99,119.99,99.99,5702015122474,673419210249,48.006,37.7952,7.0612,1.65,"",1,1,0,,0,1,,,,,,,,,213.9900,138.1500,"01/06/2014","31/07/2015"
"70817-1","The LEGO Movie","",2015,"Batman & Super Angry Kitty Attack",3,115,11.99,9.99,12.99,12.99,5702015391566,673419237185,14.097,12.192,4.5974,0.11,"",1,1,0,,0,1,,,,,,,,,17.1700,9.5200,"01/01/2015","31/07/2015"
"70818-1","The LEGO Movie","",2015,"Double-Decker Couch",5,197,14.99,14.99,17.99,16.99,5702015391573,673419237192,19.1008,14.097,6.096,0.2,"",1,1,0,,0,1,,,,,,,,,37.5300,25.8200,"01/01/2015","31/07/2015"
"70841-1","The LEGO Movie 2","",2019,"Benny's Space Squad",5,68,8.99,9.99,13.99,9.99,5702016395396,673419308786,14.1,12.2,4.6,0.09,"",1,1,0,,0,1,,,,,,,,,18.4800,15.4000,"01/01/2019","31/12/2019"
"70905-1","The LEGO Batman Movie","",2017,"The Batmobile",5,581,54.99,59.99,74.99,59.99,5702015870511,673419267144,38.2016,26.2128,7.0612,0.9389355,"£30",1,1,0,,0,1,,,"Yes",,,,,,72.4800,47.3800,"",""
"70906-1","The LEGO Batman Movie","",2017,"The Joker Notorious Lowrider",3,433,54.99,49.99,64.99,49.99,5702015870528,673419267854,38.2016,26.2128,5.6388,0.625957,"",1,1,0,,0,1,,,,,,,,,77.1300,48.8500,"",""
"70911-1","The LEGO Batman Movie","",2017,"The Penguin Arctic Roller",2,305,29.99,29.99,39.99,34.99,5702015869850,,35.4,19.1,5.9,,"",1,1,0,,0,1,,,,,,,,,54.5200,32.1400,"01/01/2017","31/12/2018"
"70917-1","The LEGO Batman Movie","",2017,"The Ultimate Batmobile",8,1456,139.99,139.99,159.99,129.99,5702015870429,673419267816,58.1914,37.7952,8.7122,1.855191,"£60-90",1,1,0,,0,1,,,"Yes",,,,,,207.3800,148.9500,"01/06/2017","31/12/2018"
"71004-17","Collectable Minifigures","The LEGO Movie",2014,"LEGO Minifigures - The LEGO Movie Series - Complete",16,94,,,,,,,8.8,1,11.7,,"",1,1,0,,0,1,,,,,,,,,,,"01/01/2014","31/12/2014"
"71010-17","Collectable Minifigures","Series 14 - Monsters",2015,"LEGO Minifigures - Series 14 - Monsters - Complete",16,86,,,,,,,12,9,0.2,,"",1,1,0,,0,1,,,,,,,,,,,"01/09/2015","31/12/2015"
"71017-1","Collectable Minifigures","The LEGO Batman Movie",2017,"Lobster-Lovin' Batman",1,6,2.99,3.99,,,5702015866804,673419265607,11.9888,8.9916,0.2032,0.00907184,"",1,1,0,,0,1,,,,,,,,,6.3800,4.7600,"01/01/2017","30/04/2017"
"71017-2","Collectable Minifigures","The LEGO Batman Movie",2017,"Glam Metal Batman",1,7,2.99,3.99,,,,,11.9888,8.9916,0.2032,0.00907184,"",1,1,0,,0,1,,,,,,,,,6.5100,4.5300,"01/01/2017","30/04/2017"
"71017-3","Collectable Minifigures","The LEGO Batman Movie",2017,"Fairy Batman",1,7,2.99,3.99,,,,,11.9888,8.9916,0.2032,0.00907184,"",1,1,0,,0,1,,,,,,,,,6.0600,4.3500,"01/01/2017","30/04/2017"
"71017-4","Collectable Minifigures","The LEGO Batman Movie",2017,"Clan of the Cave Batman",1,6,2.99,3.99,,,,,11.9888,8.9916,0.2032,0.00907184,"",1,1,0,,0,1,,,,,,,,,4.0800,3.2000,"01/01/2017","30/04/2017"
"71017-5","Collectable Minifigures","The LEGO Batman Movie",2017,"Vacation Batman",1,7,2.99,3.99,,,,,11.9888,8.9916,0.2032,0.00907184,"",1,1,0,,0,1,,,,,,,,,7.9200,5.3400,"01/01/2017","30/04/2017"
"71017-6","Collectable Minifigures","The LEGO Batman Movie",2017,"Barbara Gordon",1,7,2.99,3.99,,,,,11.9888,8.9916,0.2032,0.00907184,"",1,1,0,,0,1,,,,,,,,,3.6200,2.6400,"01/01/2017","30/04/2017"
"71017-7","Collectable Minifigures","The LEGO Batman Movie",2017,"Commissioner Gordon",1,6,2.99,3.99,,,,,11.9888,8.9916,0.2032,0.00907184,"",1,1,0,,0,1,,,,,,,,,4.4300,3.3300,"01/01/2017","30/04/2017"
"71017-8","Collectable Minifigures","The LEGO Batman Movie",2017,"Arkham Asylum Joker",1,5,2.99,3.99,,,,,11.9888,8.9916,0.2032,0.00907184,"",1,1,0,,0,1,,,,,,,,,5.1400,3.2300,"01/01/2017","30/04/2017"
"71017-10","Collectable Minifigures","The LEGO Batman Movie",2017,"Pink Power Batgirl",1,7,2.99,3.99,,,,,11.9888,8.9916,0.2032,0.00907184,"",1,1,0,,0,1,,,,,,,,,4.3400,3.1600,"01/01/2017","30/04/2017"
"71017-11","Collectable Minifigures","The LEGO Batman Movie",2017,"Red Hood",1,8,2.99,3.99,,,,,11.9888,8.9916,0.2032,0.00907184,"",1,1,0,,0,1,,,,,,,,,4.6200,3.7900,"01/01/2017","30/04/2017"
"71017-13","Collectable Minifigures","The LEGO Batman Movie",2017,"Nurse Harley Quinn",1,6,2.99,3.99,,,,,11.9888,8.9916,0.2032,0.00907184,"",1,1,0,,0,1,,,,,,,,,5.5500,3.9100,"01/01/2017","30/04/2017"
"71017-14","Collectable Minifigures","The LEGO Batman Movie",2017,"Orca",1,4,2.99,3.99,,,,,11.9888,8.9916,0.2032,0.00907184,"",1,1,0,,0,1,,,,,,,,,5.0000,3.2600,"01/01/2017","30/04/2017"
"71017-16","Collectable Minifigures","The LEGO Batman Movie",2017,"Catman",1,8,2.99,3.99,,,,,11.9888,8.9916,0.2032,0.00907184,"",1,1,0,,0,1,,,,,,,,,4.3900,3.0300,"01/01/2017","30/04/2017"
"71017-17","Collectable Minifigures","The LEGO Batman Movie",2017,"March Harriet",1,5,2.99,3.99,,,,,11.9888,8.9916,0.2032,0.00907184,"",1,1,0,,0,1,,,,,,,,,4.8100,2.9300,"01/01/2017","30/04/2017"
"71020-1","Collectable Minifigures","The LEGO Batman Movie Series 2",2018,"Friends are Family Harley Quinn",1,7,,3.99,,,5702016109306,673419281119,12,9,0.2,,"",1,1,0,,0,1,,,,,,,,,5.3300,4.4200,"01/01/2018","31/03/2018"
"71020-2","Collectable Minifigures","The LEGO Batman Movie Series 2",2018,"Friends are Family Alfred",1,7,,3.99,,,,,12,9,0.2,,"",1,1,0,,0,1,,,,,,,,,5.2000,3.4000,"01/01/2018","31/03/2018"
"71020-4","Collectable Minifigures","The LEGO Batman Movie Series 2",2018,"Professor Hugo Strange",1,6,,3.99,,,,,12,9,0.2,,"",1,1,0,,0,1,,,,,,,,,7.7800,6.0200,"01/01/2018","31/03/2018"
"71020-5","Collectable Minifigures","The LEGO Batman Movie Series 2",2018,"Mermaid Batman",1,5,,3.99,,,,,12,9,0.2,,"",1,1,0,,0,1,,,,,,,,,5.0900,3.7700,"01/01/2018","31/03/2018"
"71020-6","Collectable Minifigures","The LEGO Batman Movie Series 2",2018,"Swimming Pool Batman",1,6,,3.99,,,,,12,9,0.2,,"",1,1,0,,0,1,,,,,,,,,11.2600,9.7800,"01/01/2018","31/03/2018"
"71020-7","Collectable Minifigures","The LEGO Batman Movie Series 2",2018,"Tropical Joker",1,8,,3.99,,,,,12,9,0.2,,"",1,1,0,,0,1,,,,,,,,,11.2600,7.3300,"01/01/2018","31/03/2018"
"71020-9","Collectable Minifigures","The LEGO Batman Movie Series 2",2018,"Vacation Batgirl",1,7,,3.99,,,,,12,9,0.2,,"",1,1,0,,0,1,,,,,,,,,4.5500,3.3600,"01/01/2018","31/03/2018"
"71020-11","Collectable Minifigures","The LEGO Batman Movie Series 2",2018,"Soccer Mom Batgirl",1,8,,3.99,,,,,12,9,0.2,,"",1,1,0,,0,1,,,,,,,,,4.5500,3.7000,"01/01/2018","31/03/2018"
"71020-15","Collectable Minifigures","The LEGO Batman Movie Series 2",2018,"Apache Chief",1,5,,3.99,,,,,12,9,0.2,,"",1,1,0,,0,1,,,,,,,,,5.0200,3.7800,"01/01/2018","31/03/2018"
"71020-20","Collectable Minifigures","The LEGO Batman Movie Series 2",2018,"Black Vulcan",1,6,2.99,3.99,3.99,3.99,,,12,9,0.2,,"",1,1,0,,0,1,,,,,,,,,4.3600,3.8900,"01/01/2018","31/03/2018"
"71037-3","Collectable Minifigures","Series 24",2023,"Brown Astronaut and Spacebaby",2,10,3.49,4.99,,3.99,,,,,,,"",1,1,0,,0,1,,,,,,,,,,,"",""
"75102-1","Star Wars","The Force Awakens",2015,"Poe's X-wing Fighter",4,717,69.99,79.99,99.99,89.99,5702015352628,673419231589,48.006,28.194,6.096,1.097693,"",1,1,0,,0,1,,"Yes",,"Yes",,,,,117.5100,69.6000,"04/09/2015","31/07/2018"
"75828-1","Ghostbusters","Reboot",2016,"Ecto-1 & 2",6,556,54.99,59.99,74.99,59.99,5702015723251,673419258531,38.2016,26.2128,5.6388,0.6622443,"",1,1,0,,0,1,,,"Yes",,,,,,100.6600,76.4500,"01/07/2016","31/12/2017"
"75899-1","Speed Champions","Ferrari",2015,"LaFerrari",1,164,12.99,14.99,17.99,14.99,5702015348454,,19.1,14.1,6.1,0.2,"",1,1,0,,0,1,,,,,,,,,72.3500,30.5100,"01/03/2015","31/12/2016"
"75902-1","Scooby-Doo","",2015,"The Mystery Machine",3,301,29.99,29.99,39.99,34.99,5702015349710,673419230414,28.194,26.2128,5.8928,0.53118,"",1,1,0,,0,1,,,,,,,,,141.4700,95.0900,"01/08/2015","31/12/2016"
"75916-1","Jurassic World","",2015,"Dilophosaurus Ambush",2,248,29.99,29.99,39.99,39.99,5702015366397,673419234412,35.4076,19.1008,5.8928,0.4994,"",1,1,0,,0,1,"Yes",,,,,,,,80.0400,31.8700,"01/05/2015","31/12/2016"
"76001-1","DC Comics Super Heroes","The Dark Knight Trilogy",2013,"The Bat vs. Bane: Tumbler Chase",3,368,39.99,39.99,49.99,,5702014972469,673419190398,38.2,26.2,5.6,0.6,"",1,1,0,,0,1,,,,,,,,,60.7100,45.2800,"01/01/2013","31/12/2014"
"76007-1","Marvel Super Heroes","Iron Man 3",2013,"Iron Man: Malibu Mansion Attack",5,364,34.99,39.99,49.99,,5702014972728,673419190459,38.2016,26.1874,5.6388,0.76,"",1,1,0,,0,1,,"Yes",,,,,,,89.5500,59.8600,"07/03/2013","31/12/2014"
"76020-1","Marvel Super Heroes","Guardians of the Galaxy",2014,"Knowhere Escape Mission ",3,433,44.99,39.99,49.99,49.99,5702015129060,673419212328,38.2016,26.1874,5.6388,0.63,"",1,1,0,,0,1,,"Yes",,,,,,,67.2700,28.7200,"01/06/2014","31/12/2015"
"76021-1","Marvel Super Heroes","Guardians of the Galaxy",2014,"The Milano Spaceship Rescue",5,665,69.99,74.99,89.99,79.99,5702015129275,673419212335,54.0004,28.194,7.8486,1.21,"",1,1,0,,0,1,,,,,,,,,187.6000,135.1100,"01/06/2014","31/07/2015"
"76022-1","Marvel Super Heroes","X-Men",2014,"X-Men vs. The Sentinel",4,336,44.99,49.99,59.99,49.99,5702015129282,673419212342,38.2016,26.1874,5.6388,0.64,"",1,1,0,,0,1,,,,,,,,,107.6800,59.9500,"01/06/2014","31/07/2015"
"76023-1","DC Comics Super Heroes","The Dark Knight Trilogy",2014,"The Tumbler",2,1869,159.99,199.99,229.99,199.99,5702015129299,,58.1914,48.006,12.3952,3.47,"",1,1,0,,0,1,,,,,,,,,314.1400,172.2000,"01/09/2014","31/12/2015"
"76025-1","DC Comics Super Heroes","Justice League",2015,"Green Lantern vs. Sinestro",3,174,19.99,19.99,24.99,19.99,5702015353908,673419231725,26.2128,19.1008,4.5974,0.34504,"",1,1,0,,0,1,,,,,,,,,46.0300,20.5400,"01/01/2015","31/12/2016"
"76028-1","DC Comics Super Heroes","Justice League",2015,"Darkseid Invasion",5,545,59.99,69.99,89.99,79.99,5702015353939,673419231855,48.006,28.194,6.096,1.02,"",1,1,0,,0,1,,"Yes",,"Yes",,,,,98.9300,80.9600,"01/01/2015","31/12/2015"
"76029-1","Marvel Super Heroes","Avengers: Age of Ultron",2015,"Iron Man vs. Ultron",4,90,11.99,12.99,15.99,14.99,5702015353991,673419231916,15.6972,14.097,4.4958,0.12712,"",3,3,0,,0,1,,,,,,,,,32.8000,15.8000,"01/03/2015","31/12/2016"
"76030-1","Marvel Super Heroes","Avengers: Age of Ultron",2015,"Avengers Hydra Showdown",3,220,19.99,19.99,24.99,19.99,5702015354004,673419231923,26.2128,19.1008,6.096,0.3632,"",1,1,0,,0,1,,,,,,,,,34.4300,16.8000,"01/03/2015","31/12/2016"
"76031-1","Marvel Super Heroes","Avengers: Age of Ultron",2015,"The Hulk Buster Smash",4,248,29.99,29.99,39.99,34.99,5702015354011,673419231930,22.1996,26.2128,6.1976,0.41314,"",1,1,0,,0,1,,,,,,,,,87.4100,41.5900,"01/03/2015","31/12/2016"
"76036-1","Marvel Super Heroes","Ultimate Spider-Man",2015,"Carnage's SHIELD Sky Attack",3,97,11.99,12.99,15.99,14.99,5702015354035,673419232050,15.6972,14.097,4.4958,0.13166,"",1,1,0,,0,1,,,,,,,,,31.7100,14.0400,"01/06/2015","31/12/2016"
