Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Bricklinked,Archive,Selling,No Minifigures,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"76144-1","Marvel Super Heroes","Avengers: Endgame",2019,"Avengers Hulk Helicopter Rescue",5,482,54.99,59.99,79.99,58.48,5702016618068,673419320368,38.2,26.2,5.7,0.65,"",1,1,0,,0,1,,,,,,,,,67.4900,39.2700,"01/12/2019","31/12/2020"
"76171-1","Marvel Super Heroes","Spider-Man",2021,"Miles Morales Mech Armor",1,125,8.99,9.99,13.99,9.99,5702016912760,,14.1,15.7,4.5,,"",1,1,0,,0,1,,,,,,,,,14.0300,9.9200,"01/01/2021","31/12/2021"
"76191-1","Marvel Super Heroes","Miscellaneous",2021,"Infinity Gauntlet",,590,79.99,79.99,99.99,89.99,5702016913194,673419339872,19.1,35.4,9.1,,"",1,1,0,,0,1,,,,,,,,,58.2400,40.3100,"01/06/2021","31/12/2023"
"76203-1","Marvel Super Heroes","Avengers",2022,"Iron Man Mech Armor",1,130,8.99,9.99,13.99,9.99,5702017154190,,14.1,15.7,4.5,,"",2,2,0,,0,1,,,,,,,,,9.8800,9.1500,"01/04/2022","31/12/2022"
"76223-1","Marvel Super Heroes","Avengers: Endgame",2022,"Nano Gauntlet",,675,59.99,69.99,89.99,69.99,5702017154640,,19.1,35.4,9.1,,"",1,1,0,,0,1,,,,,,,,,79.3600,53.1300,"01/08/2022","31/12/2024"
"76231-1","Marvel Super Heroes","Seasonal",2022,"Guardians of the Galaxy Advent Calendar",6,268,29.99,44.99,59.99,34.99,,,38.2,26.2,7.1,,"",1,1,0,,0,1,,,,,,,,,27.3000,19.2100,"01/09/2022","31/12/2022"
"76912-1","Speed Champions","Dodge",2022,"Fast & Furious 1970 Dodge Charger R/T",1,345,19.99,19.99,29.99,24.99,5702017234410,,26.2,14.1,6.1,,"",1,1,0,,0,1,,,,,,,,,20.1600,14.7500,"01/08/2022","31/12/2023"
"76956-1","Jurassic World","Jurassic Park",2022,"T. rex Breakout",4,1212,89.99,99.99,129.99,99.99,5702017190006,,48,37.8,7.1,,"",1,1,0,,0,1,,,,,,,,,83.5400,66.3900,"17/04/2022","31/12/2023"
"76989-1","Icons","Licensed",2022,"Horizon Forbidden West: Tallneck",2,1222,79.99,89.99,109.99,89.99,5702017156491,,26.2,38.2,9.4,,"",1,1,0,,0,1,,,,,,,,,72.8300,70.2800,"01/05/2022","31/12/2023"
"79100-1","Teenage Mutant Ninja Turtles","TV Series",2013,"Kraang Lab Escape",2,90,9.99,12.99,17.99,,5702014972452,673419190374,15.7,14.1,4.5,0.12,"",1,1,0,,0,1,,,,,,,,,42.2200,13.1800,"01/01/2013","31/12/2014"
"850423-1","Miscellaneous","",2012,"Minifigure Presentation Boxes",1,89,9.99,9.99,11.99,,,673419180955,,,,,"",1,1,0,,0,1,,,,,,,,,,,"",""
